Company,CUSIP,Shares,Value,Discretion
UNIVERSAL CORP VA,913456109,496979,28944057,SOLE
UNIVERSAL HLTH SVCS INC,913903100,391743,70964244,SOLE
UNIVEST FINANCIAL CORPORATIO,915271100,888209,26681798,SOLE
USANA HEALTH SCIENCES INC,90328M107,1198260,36582878,SOLE
VALE S A,91912E105,285881,2775905,SOLE
VAREX IMAGING CORP,92214X106,4244977,36803951,SOLE
VOYA FINANCIAL INC,929089100,110585,7851535,DFND
VOYA FINANCIAL INC,929089100,3550672,252097712,SOLE
WABTEC,929740108,360696,75511708,SOLE
WEBSTER FINL CORP,947890109,1612758,88056587,SOLE
WELLS FARGO CO NEW,949746101,237396,19020168,DFND
WELLS FARGO CO NEW,949746101,10134416,811969410,SOLE
WESCO INTL INC,95082P105,228819,42377279,SOLE
WNS HLDGS LTD,G98196101,1662463,105134160,SOLE
WSFS FINL CORP,929328102,811169,44614295,SOLE
ZTO EXPRESS CAYMAN INC,98980A105,7623228,135312297,SOLE
