Company,CUSIP,Shares,Value,Discretion
Hudson Pacific Properties Inc.,444097109,2280963,6911318,SOLE
Humana Inc.,444859102,2256909,572600383,SOLE
IAC Inc.,44891N208,2635624,113700820,SOLE
Intel Corp.,458140100,2567616,51480699,SOLE
iShares S&P 500 Value Index Fund,464287408,197175,37636764,SOLE
"JD.com Inc., Class A, ADR",47215P106,355833,12336730,SOLE
Johnson Controls International plc,G51502105,403534,31850939,SOLE
JPMorgan Chase & Co.,46625H100,657723,157662764,SOLE
"KE Holdings Inc., Class A, ADR",482497104,3647872,67193802,SOLE
Lam Research Corp.,512807306,12280,886984,SOLE
Loews Corp.,540424108,606197,51338824,SOLE
M & T Bank Corp,55261F104,49678,9339961,SOLE
"Markel Group, Inc",570535104,370522,639606192,SOLE
"Meta Platforms, Inc., Class A",30303M102,2492597,1459440487,SOLE
MGM Resorts International,552953101,19920713,690252706,SOLE
Microsoft Corp.,594918104,254991,107478707,SOLE
"Mid-America Apartment Communities, Inc.",59522J103,35660,5511966,SOLE
NetEase Inc. - ADR,64110W102,597320,53286918,SOLE
"Noah Holdings Ltd., Class A, ADS",65487X102,1665696,19505301,SOLE
Oracle Corporation,68389X105,137210,22864675,SOLE
Owens Corning,690742101,1811263,308494314,SOLE
"PNC Financial Services Group, Inc.",693475105,501629,96739153,SOLE
"Prologis, Inc.",74340W103,179096,18930447,SOLE
"Public Storage, Inc.",74460D109,50090,14998950,SOLE
Quest Diagnostics Inc.,74834L100,2397260,361650643,SOLE
Regency Centers Corporation,758849103,118830,8785102,SOLE
RenaissanceRe Holdings Ltd,G7496G103,142313,35408898,SOLE
"Rexford Industrial Realty, Inc.",76169C100,339590,13128549,SOLE
RH,74967X103,2240,881642,SOLE
"Rocket Companies, Inc., Class A",77311W101,3170939,35704773,SOLE
SAP SE - ADR,803054204,97487,24002274,SOLE
"Sea Ltd., Class A, ADR",81141R100,638014,67693286,SOLE
"Simon Property Group, Inc.",828806109,80720,13900791,SOLE
"Skechers U.S.A., Inc., Class A",830566105,6000,403440,SOLE
Solventum Corp.,83444M101,5246614,346591321,SOLE
State Street Corp.,857477103,63111,6194345,SOLE
"Sunstone Hotel Investors, Inc.",867892101,802620,9503021,SOLE
"Teck Resources Ltd., Class B",878742204,11298820,457941175,SOLE
Terreno Realty Corp.,88146M101,101477,6001350,SOLE
"Texas Instruments, Inc.",882508104,2350090,440665311,SOLE
"Trip.com Group Ltd., ADR",89677Q107,3747161,257280075,SOLE
Truist Financial Corp.,89832Q109,145379,6306541,SOLE
Tyson Foods Inc,902494103,3080686,176954604,SOLE
U.S. Bancorp,902973304,14375139,687562915,SOLE
"UDR, Inc.",902653104,195910,8504453,SOLE
UnitedHealth Group Inc.,91324P102,51115,25857034,SOLE
"Ventas, Inc.",92276F100,251750,14825558,SOLE
Viatris Inc.,92556V106,62573562,779040847,SOLE
"VICI Properties, Inc.",925652109,145300,4244213,SOLE
Wells Fargo & Co.,949746101,8635051,606525961,SOLE
"Welltower, Inc.",95040Q104,29550,3724187,SOLE
"Wesco International, Inc.",95082P105,256987,46504368,SOLE
