Company,CUSIP,Shares,Value,Discretion,PutCall
PVH CORPORATION,693656100,56548,3789847,DFND,
PVH CORPORATION,693656100,6138081,411374189,SOLE,
REGIONS FINANCIAL CORP NEW,7591EP100,1839825,49859258,SOLE,
RESIDEO TECHNOLOGIES INC,76118Y104,1372625,48206590,SOLE,
ROBERT HALF INC.,770323103,4394851,119364153,SOLE,
SANOFI SA,80105N105,11749,569342,SOLE,
SCANSOURCE INC,806037107,907456,35445231,SOLE,
SENSATA TECHNOLOGIES HLDG PL,G8060N102,3509416,116828459,SOLE,
SHELL PLC,780259305,145792,10712796,DFND,
SHELL PLC,780259305,3131536,230105256,SOLE,
SHINHAN FINANCIAL GROUP CO L,824596100,911788,48899190,SOLE,
SKYWORKS SOLUTIONS INC,83088M102,175874,11152170,DFND,
SKYWORKS SOLUTIONS INC,83088M102,12450606,789492926,SOLE,
SOLVENTUM CORP,83444M101,435310,34493964,SOLE,
SPECTRUM BRANDS HLDGS INC NE,84790A105,2401948,141907088,SOLE,
SS&C TECHNOLOGIES HLDGS INC,78467J100,10313582,901613338,SOLE,
SUMITOMO MITSUI FINL GROUP I,86562M209,28473,550381,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,26342,8005070,SOLE,
TAKEDA PHARMACEUTICAL CO LTD,874060205,20627,321575,SOLE,
TARGET CORP,87612E106,374240,36581960,SOLE,
TE CONNECTIVITY PLC,G87052109,19072,4339071,DFND,
TE CONNECTIVITY PLC,G87052109,792819,180374251,SOLE,
TELEFLEX INCORPORATED,879369106,379465,46309909,SOLE,
THE CIGNA GROUP,125523100,570833,157110367,SOLE,
TOTALENERGIES SE,F92124100,20693,1150324,SOLE,
TPG INC,872657101,3386,216162,SOLE,
TRIMAS CORP,896215209,538371,19085252,SOLE,
TRUEBLUE INC,89785X101,2864609,13033971,SOLE,
TYSON FOODS INC,902494103,231491,13570002,DFND,
TYSON FOODS INC,902494103,15079022,883932270,SOLE,
UBS GROUP AG,H42097107,242844,8975514,DFND,
UBS GROUP AG,H42097107,29531729,1091492686,SOLE,
UNIVERSAL CORP VA,913456109,327678,17285015,SOLE,
UNIVERSAL HLTH SVCS INC,913903100,2112604,460589924,SOLE,
UNIVEST FINANCIAL CORPORATIO,915271100,856235,28033134,SOLE,
USANA HEALTH SCIENCES INC,90328M107,1134429,22268841,SOLE,
VALE S A,91912E105,172732,2250698,SOLE,
VAREX IMAGING CORP,92214X106,3989364,46476091,SOLE,
VOYA FINANCIAL INC,929089100,110585,8237477,DFND,
VOYA FINANCIAL INC,929089100,3515627,261879055,SOLE,
WABTEC,929740108,366410,78210215,SOLE,
WEBSTER FINL CORP,947890109,1652571,104012819,SOLE,
WELLS FARGO CO NEW,949746101,220928,20590490,DFND,
WELLS FARGO CO NEW,949746101,9759719,909605811,SOLE,
WESCO INTL INC,95082P105,113617,27795263,SOLE,
WINNEBAGO INDS INC,974637100,928962,37641540,SOLE,
WSFS FINL CORP,929328102,876816,48435316,SOLE,
ZTO EXPRESS CAYMAN INC,98980A105,7580454,158355684,SOLE,
