Company,CUSIP,Shares,Value,Discretion
SUNOPTA INC,8676EP108,20726126,142388486,DFND
TECHTARGET INC,87874RAD2,7244000,6918020,DFND
TELADOC HEALTH INC,87918AAF2,9142000,7724990,DFND
TELECOM ARGENTINA SA,879273209,2649356,21062380,DFND
TERNIUM SA,880890108,975337,40593525,DFND
TORM PLC,G89479102,51006538,1728158965,DFND
TPI COMPOSITES INC,87266J104,4600642,13387868,DFND
TRANSPORTADORA DE GAS DEL SUR SA,893870204,1068558,16135225,DFND
TURNING POINT BRANDS INC,90041LAE5,2714000,2666526,DFND
TYLER TECHNOLOGIES INC,902252AB1,2100000,2119950,DFND
UNITI GROUP INC,91325V108,3397592,20045792,DFND
UNITY SOFTWARE INC,91332UAB7,7588000,6468770,DFND
UPSTART HOLDINGS INC,91680MAB3,3867000,3037915,DFND
UPWORK INC,91688FAB0,4571000,4008309,DFND
VACASA INC,91854V206,397288,2709504,DFND
VALE SA,91912E105,11516869,140390633,DFND
VALLEY NATIONAL BANCORP,919794107,500000,3980000,DFND
VISTA ENERGY SAB DE CV,92837L109,2439714,100955365,DFND
WAYFAIR INC,94419LAF8,12572000,11652358,DFND
XOMETRY INC,98423FAB5,1056000,807285,DFND
YPF SA,984245100,355091,7030801,DFND
YUM CHINA HOLDINGS INC,98850P109,486057,19340208,DFND
ZILLOW GROUP INC,98954MAG6,1250000,1552346,DFND
